	cell1	cell2	cell3	cell4	cell5	cell6	cell7	cell8	cell9	cell10	cell11	cell12	cell13	cell14	cell15	cell16	cell17	cell18	cell19	cell20	cell21	cell22	cell23	cell24	cell25	cell26	cell27	cell28	cell29	cell30	cell31	cell32	cell33	cell34	cell35	cell36	cell37	cell38	cell39	cell40	cell41	cell42	cell43	cell44	cell45	cell46	cell47	cell48	cell49	cell50	cell51	cell52	cell53	cell54	cell55	cell56	cell57	cell58	cell59	cell60	cell61	cell62	cell63	cell64	cell65	cell66	cell67	cell68	cell69	cell70	cell71	cell72	cell73	cell74	cell75	cell76	cell77	cell78	cell79	cell80	cell81	cell82	cell83	cell84	cell85	cell86	cell87	cell88	cell89	cell90	cell91	cell92	cell93	cell94	cell95	cell96
gene319	67.62	193.98	29.96	10.8	84.17	128.43	118.73	37.14	65.72	6.8	0	80.78	8.52	16.06	25.4	125.22	20.55	134.01	202.42	10.99	0	225.7	165.88	63.07	91.64	0	156.33	149.24	281.48	0	167.13	108.35	209.95	1080.78	0	238.41	193.01	69.1	25.46	74.62	776.08	443.74	164.79	569.5	313.83	6.03	25.92	325.6	71.12	136.99	23.32	339	424.01	218.49	1.95	108.57	95.23	142.07	18.8	0	101.2	198.98	30.2	410.42	88.16	138.95	33.98	159.02	949.41	66.31	20.32	18.55	60.43	11624.48	433.14	115.7	369.43	422.22	1.66	40.57	97.5	457.22	287.97	56.13	146.42	19.44	30.06	619.14	162.08	606.6	0	79.34	213.76	93.78	36.32	324.18
gene320	2.41	1.28	0	30.25	114.78	413.42	5.28	108.99	191.96	0	216.33	0	293.81	23.44	1.27	82.38	128.11	20.19	1.72	74.6	80.1	23.79	134.7	0	226.29	15.86	111.95	24.27	2.69	94.02	16.02	0	32.85	145.02	0	5.86	133.11	1.99	89.12	424.87	137.8	0	311.4	544.52	393.25	327.98	124.39	832.79	22.85	58.44	5.79	189.57	812.41	151.55	23.42	104.13	452.91	9.07	97.15	103.44	150.95	82.13	3.69	182.59	235.26	8.55	10.81	237.48	131.21	14.64	373.94	132.48	0	0	80.45	192.08	534.12	185.12	114.69	204.73	0	0	373.49	63.32	66.93	0	10.88	4.48	65.38	573.04	3.16	0	1538	249.52	273.53	85.31
gene321	1455.82	1121.48	1936.3	1557.03	1670.79	698.4	1817.9	1555.14	636.25	392.51	1267.87	905.83	1084.52	3032.07	856.85	830.38	1206.87	2116.64	665.63	1760.28	2911.11	1565.8	700.38	925.05	707	988.34	2194.02	1698.39	844.9	1306.83	729.47	1001.65	1525.5	500.39	2341.4	1845.05	927.6	1668.74	580.89	1061.5	1114.91	1225.93	725.85	549.58	651.85	2672.9	1245.74	504.07	1407.12	2373.31	1700.62	1347.12	1458.48	1838.02	3098.47	1404.71	1947.15	1143.74	896.19	2138.74	538.6	990.15	1134.53	1520.14	1534.98	1590.41	152.33	2156.36	1062.09	2084.57	1526.23	333.2	1467.36	90.82	2972.71	2359.69	1678.27	1586.79	1901.7	1533.24	1011.09	1327.76	345.68	274.26	1503.93	4258.17	2155.77	581.6	784.24	1899.1	1431.96	132	924.65	987.71	951.48	1102.62
gene322	292.46	393.09	100.46	144.35	155.59	79.45	174.14	132.92	210.67	266.37	0	123.32	211.49	11.04	40.66	158.17	246.7	49.57	85.78	52.19	2.5	150.82	102.41	294.36	13.09	119.8	179.45	1.21	51.07	145.72	59.19	21.01	127.29	201.76	152.92	97.71	147.67	247.09	89.12	52.88	78.58	126.84	170.13	220.25	332.14	222.1	45.78	324.1	156.85	136.9	75.35	55.76	71.65	159.08	62.39	99.68	164.9	217.64	587.1	179.91	96.06	83.7	281.9	230.92	36.3	42.75	180.83	86.93	18.3	5.17	79.26	373.52	339.26	12.97	199.37	29.24	194.22	162.3	4.97	83.03	9.03	58.48	133.23	139.65	14.64	38.89	251.03	865.96	36.6	18.8	327.02	3.8	725.81	69.84	319.58	49.05
gene323	9.78	14.66	29.63	30.1	36.37	14.89	26.33	21.75	28.64	7.21	27.77	44.22	25.58	18.55	32.35	45.42	13.58	7.1	24	43.7	10.51	29.01	12.12	27.2	7.97	35.02	35.55	23.17	14.78	12.58	13.09	23.55	13.84	11.57	10.27	12.57	11.06	12.22	46.46	10.46	7.93	36.93	15.87	6.79	11.78	13.91	9.87	3.96	54.5	19.33	24.54	16.66	20.1	5.94	10.2	13.56	2.39	32.01	9.63	3.75	47.93	32.48	17.87	29.94	18.86	39.63	9.98	31.04	9.15	10.7	30.2	3.43	16.05	50.34	7.33	24.11	11.65	13.9	23.46	47.42	12.51	29.39	10.12	12.09	19.31	17.11	14.93	11.26	49.9	14.32	23.51	1.31	20.8	28.93	19.97	63.13
gene324	35.74	98.11	155.19	110.13	139.35	113.38	162.74	148.15	93.17	184.93	32.72	66.04	48.51	13.85	82.09	48.21	84.43	64.44	123.69	49.39	44.78	62.71	129.49	50.09	37.09	144.58	96.92	37.01	126.37	75.18	84.75	24.06	41.94	58.93	73.51	60.56	127.95	152.62	18.1	37.24	60.44	25.24	488.92	100.49	188.51	163.79	29.7	414.01	26.63	66.38	92.73	68.54	30.67	13.28	124	55.59	168.3	138.21	33.55	16.07	72.33	101.53	34.28	26.81	31.41	72.7	114.87	47.01	178.53	115.83	81.39	218.13	21.32	70.32	2.32	108.55	136.41	187.48	94.69	77.73	5.36	29.35	41.54	70.65	162.65	84.58	41.92	8.12	147.8	18.17	17.48	133.56	42.2	85.52	24.33	83.58
gene325	2702.45	3472.28	2744.87	1801.98	1861.84	5089.93	2142.86	2041.62	3874.81	3291.49	3366.61	1883.63	2059.52	2552.68	3155.87	2436.44	3099.9	2143.96	2385.35	1752.5	2680.94	1330.1	2332.06	1285.11	2567.39	2226.7	1401.18	1520.32	2661.97	2625.33	2465.21	2656.49	1832.38	2432.62	2685.07	2776.68	2546.31	3372.31	2473.38	2798.82	2940.48	1447.63	3523.86	2785.15	2166.78	1828.28	2642.33	4267.25	2171.03	1859.41	2318.9	2120.96	2445.95	2522.46	1889.27	2324.09	1724.51	2097.34	2803.86	1921.72	1933.24	2024.01	2491.46	1947.87	2119.09	1597.08	3048.53	1344.3	3277.76	2932.17	2341.2	4144.45	2857.26	804.37	2820.25	1634.45	2588.86	3595.07	2238.83	2484.76	2619.74	2057.84	3072.86	1998.8	2826.38	2780.45	2030.88	2924.38	1850.71	2885.37	1792.83	3694.99	3053.39	2426.26	3500.88	2593.34
gene326	3055.74	3270.69	4167.43	3878.91	3030.77	4049.32	2267.18	2115.94	4757.51	2993.16	2240.29	2949.5	2476.69	3073.69	3441.56	2567.84	3644.11	2237.22	2960.88	2277.49	3106.49	2014.26	2152.35	2195.23	2247.12	2794.29	2061.12	2246.93	2722.1	3315.62	1656.18	3103.64	3509.81	3160.41	4911.59	3530.05	3600.24	4264.6	2931.08	3911.7	2608.04	2749.51	3668.45	2813.9	3353.41	2472.42	2814.35	4602.32	1938.86	2005.43	2703.69	2277.13	2579.99	3511.77	2054.95	3387.95	2886.99	2309.32	3456.37	2450.54	2004.36	1431.21	2297.97	2779.48	2356.39	3024.36	3582.52	1702.99	3918.68	2262.94	2672.01	2868.85	2807.25	168.66	3458.48	1438.51	2953.16	3500.45	2915.33	2546.08	3047.61	2385.03	3352.84	3451.68	3206.13	2836.06	2583.06	3237.48	2566.89	5064.26	1177.78	5369.76	1876.52	2474.02	3021.51	3330.65
gene327	202.46	14.48	131.04	27.68	234.64	95.24	505.11	107.69	257.91	4.88	208.42	49.81	35.43	34.28	36.46	57.86	7.37	393.1	144.93	115.69	11.14	131.55	23.89	285.03	79.8	30.53	12.26	113.41	14.65	28.77	25.82	27.61	182.89	69.98	32.86	200.98	370.23	9.86	22.14	5.33	168.49	62.37	292.34	281.21	98.51	1300.75	27.31	802.89	34.45	34.36	24.45	57.3	360.2	17.38	9.26	11.28	9.64	24.73	25.64	14.35	42.33	16.88	273.87	276.06	10.22	717.65	206.12	28.79	12.24	414.07	47.41	13.46	20.08	41.39	13.69	19.81	62.64	66.15	150.42	32.86	23.58	20.08	8.52	421.49	27.69	59.3	36.11	51.13	294.77	136.41	49.1	153.17	21.75	33.94	112.29	76.8
gene328	0	0	1.76	2.16	137.74	620.82	142.48	2.66	245.87	2.38	2.74	35.24	133.42	12.04	166.98	0	20.55	84.47	130.38	120.86	17.52	59.53	26.71	102.49	194.5	89.85	7.9	110.45	186.8	0	0	0	244.32	1.86	9.56	0	214.22	72.09	0	0	0	113.55	101.47	7.05	191.95	410.6	0	482.14	18.96	279.35	165.06	0	0	38.33	0	285.82	278.71	98.24	0	25.17	0	112.12	6.71	0	110.63	87.65	306.54	48.77	0	0	0	0	336.3	0	0.81	141.82	117.22	0	64.66	0	0	47.65	0	0	0	19.44	22.55	0.56	2.61	8.36	1.58	0	0.81	0	479.37	0
gene329	142.48	159.29	229.18	47.53	137.74	260.26	105.46	132.92	316.1	33.3	0	104.24	85.16	35.11	114.37	187.82	112.39	203.78	303.65	109.87	95.12	208.37	36	299.59	173.89	192.03	102.73	310.62	369.57	398.42	212.38	137.1	178.62	0	6.37	5.86	478.01	490.35	108.22	0	33.03	195.6	2.29	121.15	438.09	266.17	7.9	1.57	43.09	279.35	365.2	100.36	73.23	159.08	245.64	42.25	132.39	249.38	12.54	195.65	101.2	241.62	55.37	4.85	86.43	414.71	94.97	76.33	472.65	120.56	4.06	452.83	60.43	0	235.15	120.41	85.54	344.12	334.92	315.83	301.47	444.05	176.27	386.09	106.68	0	231.49	0.56	73.2	200.53	12.03	499.7	0.41	310.66	0	456
gene330	9.71	18.67	24.06	10.65	4.97	123.55	5.28	21.51	2.86	26.21	341.58	8.63	74.96	232.87	2.16	10.4	8.82	239.9	159.61	63.62	7.94	63.31	31.81	15.85	0.73	10.46	69.43	63.43	12.54	37.75	22.89	118.78	9.71	0.17	7.96	0	42.82	251.58	32.43	133.71	85.36	175.83	12.12	6.49	211.04	1.72	267.68	0	19.2	40.4	1.83	222.52	171.66	247.39	5.81	33.01	147.04	126.62	5.3	54.33	19.25	60.31	40.88	5.75	0	2.14	7.52	11.64	1.37	129.32	3.86	1.33	25.12	16.09	0.65	87.5	93.74	93.09	19.68	8.26	12.84	184.16	719.8	8.44	13.81	174.41	27.3	2.37	174.47	151.19	4.42	0.54	80.1	3.99	14.53	194.53
gene331	98	626.5	58.41	512.55	343.15	94.12	104.22	144	225.73	34.18	261.49	285.22	714.71	147.2	118.73	118.97	74.08	429.4	123.85	377.85	78.88	175.94	133.06	350.94	224.31	87.15	78.01	737.41	283.97	126.01	110.38	175.78	544.85	113.83	107.22	275.55	232.46	81.36	394.8	239.42	377.71	373.86	90.27	135.03	117.2	131.2	160.38	50.03	478.16	399.96	137.69	126.95	384.6	173.05	54.51	130.86	217.35	223.41	93.8	402.79	92.99	588.62	502.29	343.14	275.03	406.1	194.37	216.68	330.76	251.96	305.17	44.99	159.51	203.3	129.12	194.67	335.65	50.43	100.44	171.62	253.89	130.64	228.77	94.31	367.53	3602.53	67.96	249.54	119.86	45.19	753.49	9.37	91.59	201.11	715.07	139.1
gene332	688.24	1206.25	709.24	890.19	925.91	1155.83	825.85	1095.24	786.63	1286.65	783.17	817.76	967.12	603.63	1268.86	1355.89	1262.91	706.79	841.96	1024.55	1179.02	535.81	1198.56	373.17	847.19	1259.69	942.97	726.79	817.11	1090.58	1229.64	1020.7	751.44	1012.49	551.15	611.65	863.13	1319.89	1117.22	1468.53	1045.46	692.2	1749.4	1124.15	1020.47	569.85	1201.63	1321	522.25	706.71	514.87	595.49	1134.42	1222.79	801.39	640.32	438.97	704.43	905.75	629.14	704.99	404.29	845.71	702.76	1092.45	718.27	863.85	721.14	1330.36	1161.66	873.88	1700.39	973.58	188.25	376.27	672.5	603.88	1105.64	647.24	367.73	1085.02	805.78	728.86	900.52	1050.03	292.04	695.98	902.59	848.71	1222.65	309.44	2124.2	657.5	961.77	886.12	959.71
gene333	396.04	707.81	895.42	713.02	413.21	548.22	680.73	882.57	373.82	563.63	580.53	472.74	843.64	494.59	468.9	677.22	342.02	418.57	331.48	722.4	365.47	605.27	214.83	415.22	458.21	433.47	292.37	391.91	446.18	506.06	691.53	572.96	847.95	269.73	130.62	360.99	447.16	135.23	439.26	1147.44	421.37	402.27	610.59	481.69	399.79	364.13	945.89	552.58	294.73	345.96	750.15	359.08	192.24	450.4	220.32	362.79	327.49	333.44	172.37	580.68	271.53	273.2	369.16	526.74	394.11	209.5	184.79	195.07	511.88	102.48	388.17	718.73	465.18	921.14	342.94	359.66	332.92	262.46	293.47	400.69	453.18	486.89	340.91	327.53	476.8	38.89	413.38	253.02	266.64	227.68	44.21	578.94	725.75	215.5	326.85	315.45
gene334	458.63	182.99	527.21	173.44	410.41	426.97	213.51	294.6	172.33	150.76	418.94	464.2	333.2	371.76	354.12	229.64	450.68	165.59	858.27	428.72	240.34	727.32	530.57	516.53	108.17	263.02	395.79	241.75	513.39	136.71	75.33	708.35	274.69	771.15	487.41	268.21	353.67	40.36	269.74	367.59	386.41	341.35	119.5	139.84	316.47	302.74	168.85	123.07	264.5	374.95	443.63	184.2	350.95	113.87	427.69	233.7	405.04	517.48	192.45	43.51	319.63	410.5	374.34	174.43	480.92	273.43	139.22	530.65	432.32	390.75	430.52	312.95	231.78	303.46	179.37	315.59	215.87	91.97	333.48	507.51	228.49	310.44	50.78	141.29	468.67	566.78	678.11	229.69	524.92	116.42	545.85	49.78	120.63	321	228.5	185.83
gene335	2236.28	1611.71	4942.54	2324.67	2039.21	2793.9	3023.77	1081.95	4669.52	4704.23	627.09	2912.56	963.77	1863.02	1298.21	3244.95	1990.37	1516.46	1142.54	758.11	1340.36	1605.45	1049.66	809.34	1883.07	2570.34	439.84	1334.94	1040.25	3512.98	4116.06	3200.74	529.7	3099.73	2431.06	1156.87	2217.01	2010.61	3055.37	2859.68	2943.39	935.01	793.41	2443.92	1590.74	4057.86	1199.01	1164.63	2533.67	2105.87	3182.59	1906.86	3218.64	1588.84	1546.12	2215.66	1358.72	1848.99	4488.07	527.64	1087.4	2231.3	1870.97	2018.15	2209.1	1660.93	829.14	2251.35	7.01	1729.62	3735.71	3195.91	1552.91	155.69	2982.39	793.89	1412	910.3	1602.83	1236.88	1397.47	638.99	1010.52	1043.57	2114.6	116.66	2071.41	2688.01	2062.49	1684.72	59.99	1246.98	335.52	2168.97	1903.04	1615.63
gene336	389.86	360.9	202.69	45.16	122.43	28.13	142.48	209.96	445.33	35.67	188.97	85.15	340.65	315.01	11.44	62.61	141.56	62.42	278.18	129.1	212.77	303.63	112.42	44.68	351.61	128.6	280.52	72.8	217.81	17.24	64.62	337.37	494.8	383.89	436.2	349.56	403.49	73.29	374.41	4.64	326.84	18.12	6.1	140.08	630.98	19.75	27.64	4.7	132.8	793.63	77.14	209.65	4.44	458.07	195.79	88.34	195.1	18.11	100.29	571.47	130.43	87.6	541.99	8.08	87.52	1077.4	82.46	69.97	688.5	15.02	550.75	389.58	0	0	428.62	215.24	77.39	147.71	329.95	267.54	245.55	366.07	25.6	479.14	158.97	19.44	924.47	335.3	196.06	276.42	1.58	775.51	11.38	439.36	312.32	426.55
gene337	243.66	42.02	122.32	10.67	28.95	45.99	224.69	57.47	67.7	120.84	49.32	30.98	166.78	107.95	82.1	285.11	230.87	110.55	128	122.48	100.68	75.47	145.69	173.92	53.49	25.65	196.51	47.28	23.17	30.9	315.32	40.35	52.23	147.92	204.8	61.81	134.79	40.76	33.1	23.09	141.99	124.85	21.64	179.24	490.8	48.46	8.16	321.89	83.09	24.59	225.11	24.18	33.06	11.92	32.15	99.46	15.14	205.03	17.83	16.43	37.36	118.46	50.19	104.5	319.21	46.32	29.7	28.84	12.65	140.26	23.23	49.22	101.67	154.78	91.93	101.73	212.9	176.91	72.49	73	164.79	56.99	13.78	149.13	17.09	61.05	67.91	3.82	79.78	9.2	156.82	177.84	3.81	80.15	23.53	170.43
gene338	12.07	14.93	12.85	22.79	7.88	14.35	24.93	18.98	12.82	2.74	11.34	21.49	18.82	15.4	10.6	15.09	1.23	12.91	29.4	1.37	5.71	11.71	12.37	10.62	5.61	23.61	17.15	33.02	11.83	19.18	5.17	8.65	8.66	7.53	10.21	17.26	15.68	5.48	14.85	8.54	13.34	14.47	20.48	2.79	10.69	4.28	6.21	1.14	14.48	13.99	6.57	5.42	16.48	4.31	10.8	6	4.81	19.93	6.11	3.44	12.02	20.85	27.94	14.2	23.99	16.91	7.26	16.6	8.83	8.17	13.68	1.41	8.05	78.75	11.23	26.9	18.06	8.41	8.27	15.63	18.16	19.6	2.4	10.32	8.12	120.75	8.6	5.12	20.86	3.14	48.58	5.67	9.97	11.85	9.08	13.52
gene339	376.72	87.35	7.05	77.78	5.1	45.26	89.71	148.87	333.67	530.36	76.67	164.43	136.26	171.55	489.23	81.37	56.8	100.97	238.8	98.88	267.85	91.29	155.84	31.54	78.55	54.61	2.63	106.07	16.13	89.31	90.57	300.8	170.41	0	15.93	255.99	93.59	265.96	30.24	28.76	177.66	120.8	128.93	125.1	1.4	0	179.68	3.13	68.94	42.55	5.38	95.9	28.88	9.58	89.69	42.1	104.52	31.74	83.57	8.39	24.01	116.86	107.39	9.69	22.47	38.48	123.83	4.24	182.21	20.67	0	6.62	68.41	12.97	4.06	48.25	37.96	33.6	64.66	44.48	175.08	52.07	2.33	179.96	77.39	58.33	28.56	48.69	180.38	657.03	3.16	788.1	0	117.73	72.63	151.42
gene340	1654.98	2101.61	2032.47	1825.82	1775.32	3179.39	1878.16	1488.6	3225.69	5336.86	2889.01	1242.05	1381.06	2099.79	2134.02	1308.11	2209.31	1487.01	1588.6	780.09	1892.47	922.65	1829.94	1403.34	2074.04	2839.25	1056.49	1356.65	1273.9	2867.09	3004.79	2010.85	2296.48	1570.89	2239.06	2661.55	2961.65	1812.03	2073.7	2577.31	2084.09	1442.38	2170.14	2608.96	2948.62	1719.99	2165.42	5779.41	1189.29	1896.47	1869.33	2065.25	2019.5	2301.84	1595.02	1440.16	1690.69	1889.21	2214.58	1995.06	1816.48	1492.35	1808.09	1897.4	2459.74	1171.46	2321.02	1352.76	2774.87	1682.6	2625.8	3807.77	2389.74	90.82	1963.84	1469.81	1983.74	2823.04	1976.36	1395.38	2237.34	2312.68	2433.55	2157.07	1651	77.77	1483.22	2192.04	1427.33	2642.31	584.15	3352.58	2541.35	1838.7	2316.97	2207.4
gene341	178.7	64.23	24.68	839.54	262.7	59.93	208.44	95.7	0	30.92	194.42	29.36	82.32	13.04	45.75	1012.98	334.78	36.72	161.26	21.97	517.67	33.74	52.32	97.24	151.48	10.57	81.65	127.01	196.24	61.11	15.67	1.91	8.21	20.46	106.71	5.86	87.35	1.49	353.07	294.76	0	106.31	33.57	336.54	20.55	273.63	86.38	0	206.83	11.1	297.8	8.92	185.51	111.16	9.75	252.58	141.73	99.75	381.8	75.5	147.52	361.64	50.34	240.71	250.78	25.65	123.83	58.94	1.56	85.25	146.3	21.2	45.46	25.95	34.94	54.11	93.5	32.97	252.02	327.63	344.85	331.41	143.7	13.08	1562.5	213.88	33.07	384.56	18.3	433.87	56.84	874.45	130.03	5.99	7.26	12.8
gene342	471.33	434.2	368.37	384.6	298.53	715.56	319.26	558.25	511.8	332.96	788.54	218.75	305.17	428.38	276.68	324.57	398.64	269.92	356.83	357.08	312.9	305.59	587.72	244.4	278.66	600.73	288.42	303.34	426.33	252.04	351.68	413.44	359.29	305.09	396.65	465.09	515.8	605.51	292.83	903.64	209.5	382.94	594.32	821.97	785.75	364.13	336.03	990.47	251.64	347.81	236.81	314.47	233.83	423.57	463.99	487.44	527.23	420.16	506.66	548.99	514.59	364.88	362.45	428.19	575.61	545.11	518.9	481.31	474.21	637.82	371.89	749.85	605.39	64.87	556.68	426.91	350.45	844.94	417.82	249.1	637.35	316.2	393.12	453.15	320.11	19.44	451.37	435.81	525.44	421.24	838.18	709.91	384.01	431.08	377.69	360.43
gene343	86.94	29.82	51.11	298.17	17.85	17.12	44.85	10.63	3.76	0	5.48	23.49	1.42	146.47	41.93	65.9	32.63	9.18	10.29	24.72	0	51.6	26.71	115.63	254.35	10.57	11.85	1.21	12.1	95.58	6.96	262.57	281.28	18.6	68.5	0	4.16	0	3.18	39.89	39.53	53.15	0.76	139.23	519.82	123.96	0	46.88	37.92	11.1	41.26	22.3	92.2	0	0	115.35	225.29	49.88	13.58	203.19	0	1.58	67.12	50.09	27.66	175.29	0.98	8.48	415.53	0	52.84	3.97	29.64	12.97	51.2	7.31	55.49	13.95	242.07	41.52	5.42	15.16	195.47	58.31	83.67	0	0	263.09	65.35	18.8	15.79	1375.76	285.94	43.9	123.48	53.32
gene344	27.22	214.93	17.03	11.52	21.37	9.45	80.58	144.8	8.83	41.55	22.29	16.96	15.8	8.56	23.52	21.5	15.51	28	16.9	76.77	11.04	39.91	27.63	28.91	5.57	11.86	24.89	51.34	18.17	9.59	119.83	7.56	11.52	14.34	23.02	23.22	55.09	14.5	19.3	4.51	3.03	162.43	25.39	12.58	8.2	15.18	16.16	15.59	22.98	30.66	257.17	20.88	171.9	120.8	25.21	12.76	59.62	29.49	0.16	6.48	38.35	21.86	26.83	186.24	29.94	36.21	63.81	30.24	7.22	21.84	10.85	9.41	9.33	31.14	17.44	23.76	65.78	40.28	22.57	9.21	28.76	25.23	35.74	229.6	74.99	19.44	16.17	17.52	17.88	127.67	29.52	1.41	13.37	48.99	87.23	346.59
gene345	86.11	39.84	129.63	405.77	46.42	0	179.44	77.52	6.25	11.89	178.82	198.64	299.5	36.11	216.28	76.93	2.44	14.23	62.84	5.55	62.66	85.47	30.3	13.25	12.85	26.71	247.11	105.08	0	8.45	579.74	28.96	44.06	24.18	4.78	46.9	338.66	5.67	163.29	285.57	0.44	14.52	365.16	47.43	5.32	7.2	171.73	408.17	41.97	7.66	57.96	124.94	234.86	2.26	131.47	84.22	175.31	99.24	317.2	20.16	138.48	220.65	47.25	10.05	3.09	160.33	4.68	236.46	353.15	6.42	6.28	200.12	344.04	52.28	153.58	82.82	207.62	30.99	6.63	65.35	113.15	82.25	595.14	2.92	114.14	38.89	55.12	3.98	105.77	599.43	7.58	150.79	85.26	149.91	697.27	728.69
gene346	4.08	16.55	9.54	6.76	6.35	2.23	21.32	60.48	54.45	0	60.52	27.2	17.52	6.04	10.69	16.74	11.11	33.94	53.44	28.81	2.7	52.37	22.23	8.2	40.28	4.25	58.45	16.1	16.64	6.55	7	26.94	10.74	117.32	44.92	4.98	13.27	2.06	13.48	6.8	56.36	22.9	9.55	12.76	22.82	15.97	22.55	6.23	40.95	16.58	6.6	22.33	27.32	3.58	6.24	2.42	14.77	24.45	41.75	41.36	15.54	26.25	24.8	24.5	9.8	5.17	11.76	18.11	6.83	9.81	16.87	1.99	12.1	29.97	63.7	69.72	35.54	54.72	7.06	12.08	5.42	10.74	7.49	46.75	13.47	0	19.74	4.65	34.64	1.63	39.03	1.64	24.58	15.44	4.29	18.21
gene347	566.7	336.41	320.78	615.63	782.48	152.89	258.57	284.47	461.62	573.17	405.28	224.63	116.39	1506.33	102.93	448.21	526.77	328.61	713.67	313.87	1709.13	810.6	115.76	669.24	327.28	394.62	626.3	463.57	52.41	495.42	811.29	445.85	496.85	809.21	172.26	914.54	409.73	409.84	149.6	93.7	461.23	393.84	150.3	281.95	1180.85	488.96	226.33	1246.24	291.04	619.95	543.58	100.36	876.98	245.32	827.18	418.75	227.61	495.73	1091.5	482.83	111.49	244.78	561.81	349.02	133.1	525.88	369.51	432.54	51.84	86.12	260.8	122.55	332.84	103.79	616.81	220.65	121.14	124.49	170.78	585.74	301.29	660.65	690.57	213.81	179.84	447.21	613.31	1003.91	274.25	81.46	756.15	733.81	718.25	197.54	212.45	332.71
gene348	229.41	19.27	230.89	99.39	252.52	227.5	44.85	244.57	20.07	2.38	153.35	122.31	649.38	328.06	8.9	0	59.22	176.24	0	164.81	443.07	166.7	133.44	23.65	100.99	89.85	10.54	158.95	153.21	89.31	149.72	53.47	346.54	284.61	0	183.69	0	720.2	76.39	231.01	209.55	59.19	1.53	24.67	72.87	29.27	12.96	197.24	162.02	0	75.35	6.69	620.38	289.41	157.93	214.81	102.19	553.16	167.15	178.02	97.77	255.83	118.45	206.83	401.03	123.99	91.4	175.99	1.95	183.48	0	0.66	450.31	90.82	0.81	16.08	248.23	382.92	86.81	412.8	39.47	121.3	687.06	0	447.35	19.44	33.07	12.87	154.23	684.42	389.96	1.63	88.21	91.81	0	145.03
gene349	821.05	1832.47	2140.27	504.6	1081.55	65.2	701.84	510.14	975.67	1184.1	293.47	841.19	872.99	1062.69	780.76	845.82	432.36	518.62	372.41	518.37	276.26	604.22	892.38	396.85	1242.27	879.43	468.85	276.64	142.45	1225.7	693.72	1294.37	932.23	1004.75	1418.18	1076.89	1210.66	79.54	404.24	1852.29	1389.06	402.7	858.48	235.21	264.68	1185.54	1298.83	3.13	287.92	1013.22	690.41	1016.37	429.85	595.89	637.59	1174.82	815.91	580.36	791.83	630.77	1230.86	595.98	407.89	453.97	35.04	164.05	722.3	901.13	1098.85	508.96	1546.49	612.08	1090.24	90.82	711.14	1107.02	1057.54	411.13	774.33	702.77	766.69	725.31	153	1499.93	1160.12	0	580.36	1074.72	645.69	326.12	448.38	1721.83	728.16	865.85	1053.17	1693.39
gene350	445.9	210.93	255.96	718.01	593.91	357.9	434.24	251.64	837.42	333.67	347.86	825.36	141.8	214.81	519.53	584.78	502.31	298.3	709.46	717.73	631.72	256.3	258.32	364.11	711.27	518.63	582.63	729.19	694.28	382.02	786.74	283.59	572.16	293.24	527.44	154.38	852.5	458.22	221.55	1074.01	474.96	572.04	18.86	529.9	585.86	164.74	831.88	20.94	366.73	101.84	302.18	717.91	851.51	603.73	469.29	460.14	1075.74	843.49	890.85	514.99	499.97	770.97	534.81	729.22	552.53	68.53	482.18	324.79	85.78	316.47	159.39	655.8	792	146.73	616.49	392.19	274.87	500.28	696.88	341.18	517.08	584.75	159.98	368.8	168.65	20.22	399.31	756.85	290.61	21.11	142.12	1788.97	740.51	636.38	331.71	737.82
gene351	111.08	92.49	79.31	66.98	48.46	123.54	76.52	39.88	15.05	154.59	115.01	79.28	83.74	106.34	58.43	88.29	45.92	66.09	70.34	109.87	100.13	25.8	76.8	36.79	67.33	51.09	94.82	70.37	52.41	15.67	13.93	69.7	61.59	48.31	73.27	0	108.15	109.87	55.7	31.54	18.22	71.27	57.22	83.69	32.69	82.64	10.37	264.55	37.92	18.5	44.85	113.74	101.09	92	91.64	57.61	83.61	54.41	21.94	31.69	77.19	9.48	62.09	43.63	10.37	83.37	46.19	4.24	0	161.9	34.55	151.03	43.33	0	62.46	55.56	51.11	76.08	76.27	72.66	48.75	86.64	17.45	100.78	0	0	96.2	79.49	26.14	208.18	0	55.4	21.94	87.8	50.84	74.65
gene352	516.15	16.43	202.09	89.54	186.28	105.14	40.13	200.79	19.09	43.02	44.03	351.84	97.33	63.54	266.77	161.33	64.27	312.46	191.94	63.7	416.81	318.07	142.11	113.11	347.93	412.29	296.94	88.29	37.99	20.51	218.89	29.89	128.36	82.17	100.39	8.64	218.05	54.21	210.58	79.16	136.8	272.22	233.15	30	160.94	7.79	198.49	209.79	111.65	91.52	18.08	135.47	29.71	329.96	676.82	207.8	23.39	289.73	97.87	340.98	251.22	147.09	254.89	1.63	5.83	614.06	37.86	119.33	21.3	376.97	14.39	31.66	120.35	0	42.42	33.86	53.28	23.84	15.05	311.78	189.07	407.53	305.89	32.74	8.43	0	70.06	20.19	77.17	213.62	4.85	318.86	46.6	159.29	264.45	77.48
